Path,Lines of code,Lines of code generated,Lines of user code, Percentage of generated code
/CSE-2102-Puzzle-Game/PuzzleGame/src,20,20,0,"100.00"
/CSE-2102-Puzzle-Game/PuzzleGame/src/application,478,478,0,"100.00"
/CSE-2102-Puzzle-Game/PuzzleGame/src/application/Controllers,699,699,0,"100.00"
/CSE-2102-Puzzle-Game/PuzzleGame/src/application/Data,785,785,0,"100.00"
/CSE-2102-Puzzle-Game/PuzzleGame/src/application/UIs,1336,1336,0,"100.00"
/CSE-2102-Puzzle-Game/PuzzleGame/src/application/resourses,515,515,0,"100.00"
/CSE-2102-Puzzle-Game/PuzzleGame/src/application/resourses/Common_btns,1240,1240,0,"100.00"
/CSE-2102-Puzzle-Game/PuzzleGame/src/application/resourses/GamePanelUI,246,246,0,"100.00"
/CSE-2102-Puzzle-Game/PuzzleGame/src/application/resourses/GamePanelUI/Function_Buttons,839,839,0,"100.00"
/CSE-2102-Puzzle-Game/PuzzleGame/src/application/resourses/GamePanelUI/Lower_Buttons,4235,4235,0,"100.00"
/CSE-2102-Puzzle-Game/PuzzleGame/src/application/resourses/LevelUI,5536,5536,0,"100.00"
/CSE-2102-Puzzle-Game/PuzzleGame/src/application/resourses/mainUI,2959,2959,0,"100.00"
/CSE-2102-Puzzle-Game/PuzzleGame/src/application/resourses/music,62560,62560,0,"100.00"
/CSE-2102-Puzzle-Game/PuzzleGame/src/application/resourses/newPlayerUI,480,480,0,"100.00"
/CSE-2102-Puzzle-Game/PuzzleGame/src/data,432,432,0,"100.00"
/CSE-2102-Puzzle-Game/PuzzleGame/src/dataTest,23,23,0,"100.00"
/CSE-2102-Puzzle-Game/PuzzleGame/src/gameBoard,398,398,0,"100.00"
/CSE-2102-Puzzle-Game/PuzzleGame/src/queues,242,242,0,"100.00"
/CSE-2102-Puzzle-Game/PuzzleGame/src/test,42,42,0,"100.00"
/CSE-2102-Puzzle-Game/PuzzleGame/src/unittests,266,266,0,"100.00"
